number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
32,0.8406960685664071,relu,256,0.1657860743328604,13,3.0,0.22116296445726158,851,,94,0.6914309353814663,0.9730029932970814,,6,0.005416369472706184,3,mse,recon,0.8714124734851966,False,0.0001,,,,,relu,256,0.1657860743328604,13,3.0,3.0,-3.0,0.22116296445726158,8,720,6,851,,"[851, 588, 572]",,94,0.690951821386604,0.9727891156462585,,6,0.005416369472706184,120,3,sgd,mse,120,recon,,,,,0.8714124734851966,False,,,,,,,0.0001,PRUNED
33,0.8670256611270113,relu,256,0.13287099251175685,11,3.0,0.17296498096663723,773,,45,0.5591187336634097,,,5,0.013012997988203536,2,mse,recon,0.7428206755110571,False,0.0001,,,,,relu,256,0.13287099251175685,11,3.0,3.0,-3.0,0.17296498096663723,8,600,5,773,,"[773, 432]",,45,0.5588615782664942,,,5,0.013012997988203536,120,2,sgd,mse,120,recon,,,,,0.7428206755110571,False,,,,,,,0.0001,PRUNED
34,0.9511113563170699,relu,256,0.16420724337450032,11,3.0,0.2387853279047947,941,,103,0.6101571517564802,,,7,0.01691652160862575,2,mse,recon,0.6056221166310268,False,1e-08,0.9696284253567188,0.9686304841459352,0.9329152436488717,0.9335922284882047,relu,256,0.16420724337450032,11,3.0,3.0,-3.0,0.2387853279047947,8,840,7,941,,"[941, 574]","[42, 43, 44, 45]",103,0.6099893730074389,,,7,0.01691652160862575,120,2,sgd,mse,120,recon,0.9511113563170699,0.002168809139462764,0.9512718345027953,0.9329152436488717,0.6056221166310268,False,0.9523851189501751,96.0,0.7056788147696547,0.6906913232136774,7290.0,5832.0,1e-08,COMPLETE
35,0.7246697246260638,relu,256,0.15726884337218858,6,3.0,0.2523304545488325,927,,97,0.6090703807058989,0.9482065879928951,,7,0.01971084133746584,3,mse,recon+kl,0.4868347139052772,False,1e-08,,,,,relu,256,0.15726884337218858,6,3.0,3.0,-3.0,0.2523304545488325,8,840,7,927,,"[927, 564, 534]",,97,0.6084142394822006,0.9468085106382979,,7,0.01971084133746584,120,3,sgd,mse,120,recon+kl,,,,,0.4868347139052772,False,,,,,,,1e-08,PRUNED
36,0.8250199692910408,relu,256,0.17220578709703305,9,3.0,0.29020932497819607,948,,100,0.5559170856439187,,,8,0.0071675510982156035,2,huber,recon,0.5538607501536629,False,1e-08,,,,,relu,256,0.17220578709703305,9,3.0,3.0,-3.0,0.29020932497819607,8,960,8,948,,"[948, 527]",,100,0.5559071729957806,,,8,0.0071675510982156035,120,2,sgd,huber,120,recon,,,,,0.5538607501536629,False,,,,,,,1e-08,PRUNED
37,0.7587772854841836,relu,256,0.11281870798081357,7,6.0,0.35042262891312326,856,,107,0.6723627661796006,,,7,0.0158507387530859,2,mse,recon+kl,0.6170079673929666,False,1e-08,,,,,relu,256,0.11281870798081357,7,6.0,6.0,-6.0,0.35042262891312326,8,840,7,856,,"[856, 575]",,107,0.6717289719626168,,,7,0.0158507387530859,120,2,sgd,mse,120,recon+kl,,,,,0.6170079673929666,False,,,,,,,1e-08,PRUNED
38,0.837404457879614,relu,256,0.29340685976789094,5,3.0,0.2460272724804268,1016,,81,0.6304868044372273,0.8444092326725736,,5,0.012464410962757402,3,mse,recon,0.43560259115944533,False,0.0,,,,,relu,256,0.29340685976789094,5,3.0,3.0,-3.0,0.2460272724804268,8,600,5,1016,,"[1016, 640, 540]",,81,0.6299212598425197,0.84375,,5,0.012464410962757402,120,3,sgd,mse,120,recon,,,,,0.43560259115944533,False,,,,,,,0.0,PRUNED
39,0.5537230967313398,relu,512,0.14284799586041896,11,3.0,0.2786099106861478,793,5.0,109,0.5385703758703855,0.8634088567738926,0.5246030653019915,8,0.008123235452512778,4,huber,recon,0.6067548858634154,False,1e-08,,,,,relu,512,0.14284799586041896,11,3.0,3.0,-3.0,0.2786099106861478,8,960,8,793,5.0,"[793, 427, 368, 193]",,109,0.5384615384615384,0.8618266978922716,0.5244565217391305,8,0.008123235452512778,120,4,sgd,huber,120,recon,,,,,0.6067548858634154,False,,,,,,,1e-08,PRUNED
40,0.8901509204455433,elu,128,0.10073544883729232,11,5.0,0.19825429012612272,939,,89,0.7275749516822336,,,4,0.016556832365375012,2,mse,recon,0.5191851032701996,False,0.0001,0.9263585139272281,0.92745884538453,0.8476245810917862,0.8528429955065566,elu,128,0.10073544883729232,11,5.0,5.0,-5.0,0.19825429012612272,8,483,4,939,,"[939, 683]","[42, 43, 44, 45]",89,0.7273695420660277,,,4,0.016556832365375012,120,2,sgd,mse,120,recon,0.8901509204455433,0.006559336508778885,0.8869915475095071,0.8476245810917862,0.5191851032701996,False,0.8905310631848126,22.25,0.45680106540519083,0.44835528838102445,7290.0,5832.0,0.0001,COMPLETE
41,0.9334007017594615,relu,256,0.22728402054879351,13,6.0,0.15338438793430856,617,,28,0.5967422275127079,,,6,0.011442826474777765,2,mse,recon,0.8507216287035733,False,1e-10,0.9555814474231382,0.9567368778942535,0.9053337717639399,0.9100645256246696,relu,256,0.22728402054879351,13,6.0,6.0,-6.0,0.15338438793430856,8,720,6,617,,"[617, 368]","[42, 43, 44, 45]",28,0.5964343598055105,,,6,0.011442826474777765,120,2,sgd,mse,120,recon,0.9334007017594615,0.007619407912492154,0.9304576095935391,0.9053337717639399,0.8507216287035733,False,0.934386354741166,74.0,0.7341554189458472,0.7172136994040731,7290.0,5832.0,1e-10,COMPLETE
