number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_server_beta1,params_server_beta2,params_server_lr,params_server_tau,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_server_beta1,user_attrs_server_beta2,user_attrs_server_bias_correction,user_attrs_server_lr,user_attrs_server_tau,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.648039040316799,leakyrelu,256,0.11197463096349515,11,5.0,0.2987708211684669,722,2.0,8,0.9950740724623283,,,1,0.018880891032120192,2,mse,recon+kl,0.9148413099627167,0.9700019305118038,0.018006699699613816,0.0018568096999837817,0.3373016373312017,True,1e-06,,,,,,,leakyrelu,fedadam,256,0.11197463096349515,11,5.0,5.0,-5.0,0.2987708211684669,10,722,2.0,"[722, 718]","[42, 43, 44, 45]",8,0.9944598337950139,,,1,0.018880891032120192,2,sgd,mse,120,recon+kl,,,,,,,0.9148413099627167,0.9700019305118038,True,0.018006699699613816,0.0018568096999837817,0.3373016373312017,True,,,,1e-06,PRUNED
11,0.8967282468797101,relu,256,1.5518500869299896,8,6.0,0.22797624438896466,701,2.0,107,0.5018388179694604,,,1,0.007873612264296368,2,mse,recon+kl,0.894605422532782,0.983727678537209,0.006151582931514302,0.00013549863211325793,0.9281629762550585,False,1e-06,0.9305929726912301,0.9311290846490955,0.5632245912528391,0.5637906830203165,0.8649958979453977,0.8596990599615009,relu,fedadam,256,1.5518500869299896,8,6.0,6.0,-6.0,0.22797624438896466,10,701,2.0,"[701, 351]","[42, 43, 44, 45]",107,0.5007132667617689,,,1,0.007873612264296368,2,sgd,mse,120,recon+kl,0.8967282468797101,0.033058268057153006,0.56277782658376,0.006248583811561989,0.8977944353183138,0.8649958979453977,0.894605422532782,0.983727678537209,True,0.006151582931514302,0.00013549863211325793,0.9281629762550585,False,0.5632245912528391,0.5637906830203165,0.5632245912528391,1e-06,COMPLETE
12,0.8225094601282175,leakyrelu,256,1.9074547187248396,10,6.0,0.27752174794850953,651,2.0,118,0.5115661788366249,,,2,0.009516985332566423,2,mse,recon+kl,0.909192192691116,0.9874676833720889,0.005455311236655346,0.00019146249764919265,0.4466120458143112,True,1e-06,0.8217724921487052,0.8214471508831649,0.5779774989133318,0.5825740915971858,0.8260454217871787,0.820833724369215,leakyrelu,fedadam,256,1.9074547187248396,10,6.0,6.0,-6.0,0.27752174794850953,5,651,2.0,"[651, 333]","[42, 43, 44, 45]",118,0.511520737327189,,,2,0.009516985332566423,2,sgd,mse,120,recon+kl,0.8225094601282175,0.011886368733606134,0.5834248298494094,0.0031181572864240562,0.8239089569679419,0.8217724921487052,0.909192192691116,0.9874676833720889,True,0.005455311236655346,0.00019146249764919265,0.4466120458143112,True,0.5779774989133318,0.5825740915971858,0.5779774989133318,1e-06,COMPLETE
13,0.7077249638247707,relu,256,0.22187052660317688,9,5.0,0.3970067331624565,734,2.0,100,0.884318988868209,,,2,0.008399572924226833,2,mse,recon+kl,0.8963999576867133,0.985604865768258,0.00803192111056149,0.0011212058914229124,0.9009931301410599,False,1e-08,,,,,,,relu,fedadam,256,0.22187052660317688,9,5.0,5.0,-5.0,0.3970067331624565,5,734,2.0,"[734, 649]","[42, 43, 44, 45]",100,0.8841961852861036,,,2,0.008399572924226833,2,sgd,mse,120,recon+kl,,,,,,,0.8963999576867133,0.985604865768258,True,0.00803192111056149,0.0011212058914229124,0.9009931301410599,False,,,,1e-08,PRUNED
14,0.7301214410442551,leakyrelu,256,1.6788851042154749,7,6.0,0.23038464797670782,578,2.0,40,,,,3,0.007419980833092892,1,mse,recon+kl,0.9199931484661834,0.985192330242796,0.004802527063334653,0.004540384728669649,0.20628683518886531,False,1e-06,,,,,,,leakyrelu,fedadam,256,1.6788851042154749,7,6.0,6.0,-6.0,0.23038464797670782,3,578,2.0,[578],"[42, 43, 44, 45]",40,,,,3,0.007419980833092892,1,sgd,mse,120,recon+kl,,,,,,,0.9199931484661834,0.985192330242796,True,0.004802527063334653,0.004540384728669649,0.20628683518886531,False,,,,1e-06,PRUNED
15,0.73242152586082,relu,256,0.10340487509530798,12,8.0,0.3346420203668963,64,,103,0.8548001726221608,,,1,0.0018887896718486298,2,mse,recon+kl,0.8948181381269793,0.9700312392949435,0.010771836388312635,0.0002203549015295375,0.6371094564582019,True,1e-06,,,,,,,relu,fedadam,256,0.10340487509530798,12,8.0,8.0,-8.0,0.3346420203668963,10,64,,"[64, 54]","[42, 43, 44, 45]",103,0.84375,,,1,0.0018887896718486298,2,sgd,mse,120,recon+kl,,,,,,,0.8948181381269793,0.9700312392949435,True,0.010771836388312635,0.0002203549015295375,0.6371094564582019,True,,,,1e-06,PRUNED
16,0.5,leakyrelu,256,0.2714860026895526,7,5.0,0.2142551791699457,850,2.0,43,0.5230690120846535,0.86240330800578,,2,0.0194527058525936,3,mse,recon+kl,0.9257999914358972,0.9818044123336624,0.017705031220161625,0.00013296168997471635,0.45608093056348975,False,1e-08,,,,,,,leakyrelu,fedadam,256,0.2714860026895526,7,5.0,5.0,-5.0,0.2142551791699457,5,850,2.0,"[850, 444, 382]","[42, 43, 44, 45]",43,0.5223529411764706,0.8603603603603603,,2,0.0194527058525936,3,sgd,mse,120,recon+kl,,,,,,,0.9257999914358972,0.9818044123336624,True,0.017705031220161625,0.00013296168997471635,0.45608093056348975,False,,,,1e-08,PRUNED
17,0.7592654555609183,relu,256,1.2327542131140947,12,6.0,0.329756555135674,806,2.0,127,,,,3,0.006088466671824695,1,mse,recon+kl,0.88789541849204,0.9887215590917948,0.0038981797275103747,0.00025851433536015295,0.899133941866286,True,0.0,0.66459325682437,0.6688215830873041,0.5099719065710022,0.5119592885193276,0.8546221687826119,0.8499350116005351,relu,fedadam,256,1.2327542131140947,12,6.0,6.0,-6.0,0.329756555135674,3,806,2.0,[806],"[42, 43, 44, 45]",127,,,,3,0.006088466671824695,1,sgd,mse,120,recon+kl,0.7592654555609183,0.008740824581925094,0.5123618202679131,0.009275350015318873,0.7596077128034909,0.66459325682437,0.88789541849204,0.9887215590917948,True,0.0038981797275103747,0.00025851433536015295,0.899133941866286,True,0.5099719065710022,0.5119592885193276,0.5099719065710022,0.0,COMPLETE
18,0.7421085283926157,leakyrelu,64,0.16368248362700996,9,5.0,0.23173754707010466,558,2.0,76,0.8846897165340617,,,4,0.002763523576316351,2,huber,recon+kl,0.9283617036299618,0.9752493345915123,0.007225740235048161,0.0009647534511563297,0.5149988975257649,False,1e-05,0.6344437952660784,0.6377906660852286,0.5568327434277747,0.5640287885908314,0.8515306590948007,0.8472361877894252,leakyrelu,fedadam,64,0.16368248362700996,9,5.0,5.0,-5.0,0.23173754707010466,2,558,2.0,"[558, 493]","[42, 43, 44, 45]",76,0.8835125448028673,,,4,0.002763523576316351,2,sgd,huber,120,recon+kl,0.7421085283926157,0.014727588260195606,0.5639439955470128,0.02960314647954034,0.7429872271804396,0.6344437952660784,0.9283617036299618,0.9752493345915123,True,0.007225740235048161,0.0009647534511563297,0.5149988975257649,False,0.5568327434277747,0.5640287885908314,0.5568327434277747,1e-05,COMPLETE
19,0.721351358852629,relu,128,0.44639810555922116,13,6.0,0.31546024122883815,996,,88,0.8148760939422565,0.6498531462957702,,1,0.011431929892827963,3,mse,recon+kl,0.9060525593860759,0.9795644444223943,0.0013180367018786772,0.00010245012532580453,0.1967936419477177,True,1e-06,,,,,,,relu,fedadam,128,0.44639810555922116,13,6.0,6.0,-6.0,0.31546024122883815,10,996,,"[996, 811, 527]","[42, 43, 44, 45]",88,0.8142570281124498,0.6498150431565968,,1,0.011431929892827963,3,sgd,mse,120,recon+kl,,,,,,,0.9060525593860759,0.9795644444223943,True,0.0013180367018786772,0.00010245012532580453,0.1967936419477177,True,,,,1e-06,PRUNED
20,0.7453998965195573,relu,256,0.17357783567600368,5,8.0,0.17249700720528652,653,1.0,69,,,,6,0.006365225575035188,1,mse,recon+kl,0.8797196041563835,0.9837681857845301,0.010771861547787122,0.00024563344825543357,0.6957618771244521,False,1e-06,0.6376287301882994,0.6420759930312113,0.5175893467007626,0.5200209783400226,0.8543827630912932,0.8490380840723617,relu,fedadam,256,0.17357783567600368,5,8.0,8.0,-8.0,0.17249700720528652,2,653,1.0,[653],"[42, 43, 44, 45]",69,,,,6,0.006365225575035188,1,sgd,mse,120,recon+kl,0.7453998965195573,0.013067252291735136,0.5200170091788177,0.007394201774996014,0.7460057466397962,0.6376287301882994,0.8797196041563835,0.9837681857845301,True,0.010771861547787122,0.00024563344825543357,0.6957618771244521,False,0.5175893467007626,0.5200209783400226,0.5175893467007626,1e-06,COMPLETE
