number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
19,0.8153463369522675,gelu,128,0.9834710334299633,13,8.0,0.04603062198195901,275,1.0,64,,,,4,0.0024239242245619745,1,mse,recon,0.13307361453024602,True,1e-06,0.803377505687367,0.8098439990281141,0.6218717599884089,0.6278021690084129,0.8204930086312497,0.8198325255061238,gelu,scaffold,128,0.9834710334299633,13,8.0,8.0,-8.0,0.04603062198195901,2,275,1.0,[275],"[42, 43, 44, 45]",64,,,,4,0.0024239242245619745,1,sgd,mse,120,recon,0.8153463369522675,0.025731482110294617,0.6284097740859287,0.015179837216799918,0.8119352571593084,0.803377505687367,0.13307361453024602,True,0.6218717599884089,0.6278021690084129,0.6218717599884089,1e-06,COMPLETE
20,0.795394245610049,leakyrelu,256,0.2109214460292745,8,8.0,0.1302573371046386,168,2.0,102,0.6910516908977625,,,2,0.012729730356265215,2,mse,recon,0.37533264459147153,True,1e-06,0.7638376508398863,0.7712376438541625,0.6509046535739621,0.657330023464505,0.8209703146727483,0.818561159070339,leakyrelu,scaffold,256,0.2109214460292745,8,8.0,8.0,-8.0,0.1302573371046386,5,168,2.0,"[168, 116]","[42, 43, 44, 45]",102,0.6904761904761905,,,2,0.012729730356265215,2,sgd,mse,120,recon,0.795394245610049,0.012050545401861755,0.6573571166648791,0.013341018156072009,0.7924039827563173,0.7638376508398863,0.37533264459147153,True,0.6509046535739621,0.657330023464505,0.6509046535739621,1e-06,COMPLETE
21,0.8323539869077659,leakyrelu,64,0.5439238597686594,15,8.0,0.00041547095450175653,67,2.0,59,,,,1,0.01989880572486573,1,mse,recon,0.8125103410670376,True,1e-10,0.8274933529780352,0.8259395504392775,0.5687277797535379,0.5720976817040838,0.8437590720324551,0.8357693986726655,leakyrelu,scaffold,64,0.5439238597686594,15,8.0,8.0,-8.0,0.00041547095450175653,10,67,2.0,[67],"[42, 43, 44, 45]",59,,,,1,0.01989880572486573,1,sgd,mse,120,recon,0.8323539869077659,0.024956930011667624,0.5712029004630805,0.01762059529451367,0.8356262125052452,0.8274933529780352,0.8125103410670376,True,0.5687277797535379,0.5720976817040838,0.5687277797535379,1e-10,COMPLETE
22,0.8156066330740382,leakyrelu,64,0.6342975829837861,14,8.0,0.035332582439749266,95,2.0,76,,,,1,0.01964288030245779,1,mse,recon,0.7204190590193112,True,1e-10,0.7939939993338865,0.7963978627213557,0.5824329417564698,0.5864175332962643,0.8403763258762497,0.8328577249167829,leakyrelu,scaffold,64,0.6342975829837861,14,8.0,8.0,-8.0,0.035332582439749266,10,95,2.0,[95],"[42, 43, 44, 45]",76,,,,1,0.01964288030245779,1,sgd,mse,120,recon,0.8156066330740382,0.02666584435333385,0.5872248165835907,0.009970977928674163,0.8171851626050681,0.7939939993338865,0.7204190590193112,True,0.5824329417564698,0.5864175332962643,0.5824329417564698,1e-10,COMPLETE
23,0.8623263212661424,leakyrelu,64,0.4782591805030427,14,8.0,0.0046470581585820285,203,2.0,44,,,,2,0.0060346609980304776,1,mse,recon,0.6959871324924884,True,1e-10,0.9010732800066235,0.9022319446090912,0.6018290271168389,0.6070121436340064,0.8277020308933636,0.822513826205543,leakyrelu,scaffold,64,0.4782591805030427,14,8.0,8.0,-8.0,0.0046470581585820285,5,203,2.0,[203],"[42, 43, 44, 45]",44,,,,2,0.0060346609980304776,1,sgd,mse,120,recon,0.8623263212661424,0.002685086582677021,0.6074386814575842,0.01020460908181546,0.8643876554499935,0.8277020308933636,0.6959871324924884,True,0.6018290271168389,0.6070121436340064,0.6018290271168389,1e-10,COMPLETE
24,0.7856718734417366,leakyrelu,64,0.34452278566459077,11,3.0,0.07236321728876695,350,2.0,35,0.8630332880217569,,,2,0.005940883022214976,2,mse,recon,0.6622987981653407,True,0.0,0.7767124102205137,0.7846529236077007,0.5938255610688674,0.6020204971012775,0.7864512335329792,0.7843300543945612,leakyrelu,scaffold,64,0.34452278566459077,11,3.0,3.0,-3.0,0.07236321728876695,5,350,2.0,"[350, 302]","[42, 43, 44, 45]",35,0.8628571428571429,,,2,0.005940883022214976,2,sgd,mse,120,recon,0.7856718734417366,0.011622211818245014,0.6012755737466624,0.015366630116969874,0.7815818218767465,0.7767124102205137,0.6622987981653407,True,0.5938255610688674,0.6020204971012775,0.5938255610688674,0.0,COMPLETE
25,0.7729103659907685,leakyrelu,64,0.44503124080504364,13,4.0,0.10552330611270952,207,2.0,45,,,,3,0.011400171146826643,1,mse,recon,0.6313337904815212,True,0.0001,0.71007670653939,0.7155725835511375,0.5854444707879143,0.5910075154156341,0.8388338592618936,0.8325608022574471,leakyrelu,scaffold,64,0.44503124080504364,13,4.0,4.0,-4.0,0.10552330611270952,3,207,2.0,[207],"[42, 43, 44, 45]",45,,,,3,0.011400171146826643,1,sgd,mse,120,recon,0.7729103659907685,0.016908258302980324,0.5919928670350989,0.021104585183468957,0.7744552829006418,0.71007670653939,0.6313337904815212,True,0.5854444707879143,0.5910075154156341,0.5854444707879143,0.0001,COMPLETE
26,0.7275399279976518,leakyrelu,64,0.8869403132750585,8,8.0,0.03222534112463654,464,2.0,32,0.9754266271525481,,,2,0.0030848057512361943,2,huber,recon+kl,0.4143542057738219,False,1e-08,,,,,,,leakyrelu,scaffold,64,0.8869403132750585,8,8.0,8.0,-8.0,0.03222534112463654,5,464,2.0,"[464, 452]","[42, 43, 44, 45]",32,0.9741379310344828,,,2,0.0030848057512361943,2,sgd,huber,120,recon+kl,,,,,,,0.4143542057738219,False,,,,1e-08,PRUNED
27,0.7300286655762351,gelu,64,1.3849628578377178,14,8.0,0.06203740726885822,277,1.0,66,,,,4,0.007152356446221889,1,mse,recon,0.8397426249276481,True,1e-05,0.5998010597601615,0.6101006508718748,0.5343689421779652,0.5393594079587386,0.8568927406805271,0.8508185174835966,gelu,scaffold,64,1.3849628578377178,14,8.0,8.0,-8.0,0.06203740726885822,2,277,1.0,[277],"[42, 43, 44, 45]",66,,,,4,0.007152356446221889,1,sgd,mse,120,recon,0.7300286655762351,0.019341805196018476,0.5395917949969987,0.0076604156852550015,0.7283469002203443,0.5998010597601615,0.8397426249276481,True,0.5343689421779652,0.5393594079587386,0.5343689421779652,1e-05,COMPLETE
28,0.5,relu,128,0.7610864507808128,11,8.0,0.22230962278761454,661,,77,,,,1,0.013034923599372913,1,mse,recon,0.750159724541994,True,1e-06,,,,,,,relu,scaffold,128,0.7610864507808128,11,8.0,8.0,-8.0,0.22230962278761454,10,661,,[661],"[42, 43, 44, 45]",77,,,,1,0.013034923599372913,1,sgd,mse,120,recon,,,,,,,0.750159724541994,True,,,,1e-06,PRUNED
