number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
10,0.8872875675521835,leakyrelu,64,0.571327594569229,15,8.0,0.003224457361608174,73,2.0,56,,,,1,0.01633097375776257,1,mse,recon,0.9369746035816005,True,1e-10,0.9523514181254363,0.9529586480437151,0.8291039645040559,0.821616487060652,leakyrelu,64,0.571327594569229,15,8.0,8.0,-8.0,0.003224457361608174,8,121,1,73,2.0,[73],"[42, 43, 44, 45]",56,,,,1,0.01633097375776257,120,1,sgd,mse,120,recon,0.8872875675521835,0.0036017629502015243,0.8907276913147462,0.8291039645040559,0.9369746035816005,True,0.8882042600330986,13.5,0.6245781281459277,0.6354892435143318,7290.0,5832.0,1e-10,COMPLETE
11,0.8887086154671919,leakyrelu,64,0.5686124494327017,15,8.0,0.0005360783177254702,82,2.0,54,,,,1,0.019495399576511273,1,mse,recon,0.9219181141926562,True,1e-10,0.9617928989295143,0.9622902048392954,0.8226329827770156,0.8151270260950886,leakyrelu,64,0.5686124494327017,15,8.0,8.0,-8.0,0.0005360783177254702,8,121,1,82,2.0,[82],"[42, 43, 44, 45]",54,,,,1,0.019495399576511273,120,1,sgd,mse,120,recon,0.8887086154671919,0.0029882409354049133,0.8922129408532649,0.8226329827770156,0.9219181141926562,True,0.8894021014327085,11.5,0.6223408807374666,0.6325063453657132,7290.0,5832.0,1e-10,COMPLETE
12,0.8966038651280199,leakyrelu,64,0.5063150451688377,15,8.0,0.011355141079978988,246,2.0,49,,,,2,0.014965835546542293,1,mse,recon,0.9289179321517094,True,1e-10,0.9647570849821523,0.9634433196723624,0.838111003855555,0.8297644105836772,leakyrelu,64,0.5063150451688377,15,8.0,8.0,-8.0,0.011355141079978988,8,241,2,246,2.0,[246],"[42, 43, 44, 45]",49,,,,2,0.014965835546542293,120,1,sgd,mse,120,recon,0.8966038651280199,0.0013990813387859422,0.9014340444188537,0.838111003855555,0.9289179321517094,True,0.8970002373264389,11.0,0.6309834864077104,0.6411980880756283,7290.0,5832.0,1e-10,COMPLETE
13,0.9115763938282895,leakyrelu,64,0.27182143809991266,15,4.0,0.01251665029612007,285,2.0,39,,,,3,0.015319991329529908,1,mse,recon,0.9434823198425799,True,1e-10,0.9741390671777299,0.9731310425334139,0.855041519190277,0.8500217451231653,leakyrelu,64,0.27182143809991266,15,4.0,4.0,-4.0,0.01251665029612007,8,361,3,285,2.0,[285],"[42, 43, 44, 45]",39,,,,3,0.015319991329529908,120,1,sgd,mse,120,recon,0.9115763938282895,0.0005862851702306874,0.9145902931840035,0.855041519190277,0.9434823198425799,True,0.9115059044654064,10.5,0.6041537442538307,0.6111180938947127,7290.0,5832.0,1e-10,COMPLETE
14,0.8731325537547912,leakyrelu,64,0.2666486061973195,12,4.0,0.04137048158298101,313,2.0,39,0.9962584164530706,,,3,0.010902586090699383,2,mse,recon,0.0012889620887366893,True,1e-06,,,,,leakyrelu,64,0.2666486061973195,12,4.0,4.0,-4.0,0.04137048158298101,8,361,3,313,2.0,"[313, 311]",,39,0.9936102236421726,,,3,0.010902586090699383,120,2,sgd,mse,120,recon,,,,,0.0012889620887366893,True,,,,,,,1e-06,PRUNED
15,0.8657196306833684,gelu,256,0.23984632101481632,14,4.0,0.13723470503315505,253,2.0,36,,,,3,0.008881969659795045,1,mse,recon,0.7541372475309346,True,1e-05,,,,,gelu,256,0.23984632101481632,14,4.0,4.0,-4.0,0.13723470503315505,8,360,3,253,2.0,[253],,36,,,,3,0.008881969659795045,120,1,sgd,mse,120,recon,,,,,0.7541372475309346,True,,,,,,,1e-05,PRUNED
16,0.8931057331034866,leakyrelu,64,0.17639408204131587,9,4.0,0.050087568544722336,417,2.0,77,,,,2,0.0033321011442796256,1,mse,recon,0.6741203279821055,True,0.0,0.9622752760889732,0.9632218404771179,0.8279877916833664,0.8229896257298553,leakyrelu,64,0.17639408204131587,9,4.0,4.0,-4.0,0.050087568544722336,8,241,2,417,2.0,[417],"[42, 43, 44, 45]",77,,,,2,0.0033321011442796256,120,1,sgd,mse,120,recon,0.8931057331034866,0.004298770995867102,0.8951315338861698,0.8279877916833664,0.6741203279821055,True,0.8956737069002014,46.75,0.5822680410431261,0.588824285645067,7290.0,5832.0,0.0,COMPLETE
17,0.9055877528032275,leakyrelu,64,0.396008186719864,13,3.0,0.048604031053698225,246,2.0,38,0.8988050756150625,,,7,0.012478280717387488,2,mse,recon,0.6852953774165597,True,1e-10,0.9562902184814495,0.9587639432222956,0.8569156783161254,0.8524115623841593,leakyrelu,64,0.396008186719864,13,3.0,3.0,-3.0,0.048604031053698225,8,843,7,246,2.0,"[246, 221]","[42, 43, 44, 45]",38,0.8983739837398373,,,7,0.012478280717387488,120,2,sgd,mse,120,recon,0.9055877528032275,0.007476123143751219,0.9066029483987874,0.8569156783161254,0.6852953774165597,True,0.9066262764822436,29.75,0.5294128605056817,0.529785438317706,7290.0,5832.0,1e-10,COMPLETE
18,0.7566859491458129,leakyrelu,64,0.3688669144983463,13,3.0,0.19906241650273615,437,1.0,34,0.8900404223438672,,,8,0.006351527917790513,2,huber,recon+kl,0.666645426905554,True,1e-10,,,,,leakyrelu,64,0.3688669144983463,13,3.0,3.0,-3.0,0.19906241650273615,8,963,8,437,1.0,"[437, 388]",,34,0.8878718535469108,,,8,0.006351527917790513,120,2,sgd,huber,120,recon+kl,,,,,0.666645426905554,True,,,,,,,1e-10,PRUNED
19,0.9185509083440119,gelu,128,0.17349741913416727,10,3.0,0.11189823508100666,196,,68,0.885412219628215,,,7,0.011914972586611932,2,mse,recon,0.750304156363062,True,1e-10,0.9701447761839979,0.9711921513865134,0.8712194109976461,0.8659096653015104,gelu,128,0.17349741913416727,10,3.0,3.0,-3.0,0.11189823508100666,8,845,7,196,,"[196, 173]","[42, 43, 44, 45]",68,0.8826530612244898,,,7,0.011914972586611932,120,2,sgd,mse,120,recon,0.9185509083440119,0.0022056367932610597,0.920682093590822,0.8712194109976461,0.750304156363062,True,0.9196800979553703,62.25,0.49695209816329566,0.4991763696487475,7290.0,5832.0,1e-10,COMPLETE
20,0.7855817661320823,gelu,128,0.18614077991272307,9,3.0,0.12051262713840186,178,,67,0.6910516908977625,,,7,0.0027652709507307396,2,mse,recon,0.84410752379793,True,1e-08,,,,,gelu,128,0.18614077991272307,9,3.0,3.0,-3.0,0.12051262713840186,8,845,7,178,,"[178, 123]",,67,0.6910112359550562,,,7,0.0027652709507307396,120,2,sgd,mse,120,recon,,,,,0.84410752379793,True,,,,,,,1e-08,PRUNED
21,0.8685464966948353,gelu,128,0.1200553776567681,11,3.0,0.05239218020871432,204,,8,0.8757149739549155,,,7,0.01179558871817861,2,mse,recon,0.6768768437697534,True,1e-10,,,,,gelu,128,0.1200553776567681,11,3.0,3.0,-3.0,0.05239218020871432,8,845,7,204,,"[204, 178]",,8,0.8725490196078431,,,7,0.01179558871817861,120,2,sgd,mse,120,recon,,,,,0.6768768437697534,True,,,,,,,1e-10,PRUNED
22,0.9118498102329327,gelu,128,0.319390566735573,13,3.0,0.05306460493913782,355,,72,0.8656061601654862,,,7,0.011962498112361053,2,mse,recon,0.7393121569669039,True,1e-10,,,,,gelu,128,0.319390566735573,13,3.0,3.0,-3.0,0.05306460493913782,8,845,7,355,,"[355, 307]",,72,0.8647887323943662,,,7,0.011962498112361053,120,2,sgd,mse,120,recon,,,,,0.7393121569669039,True,,,,,,,1e-10,PRUNED
