number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_server_beta1,params_server_beta2,params_server_lr,params_server_tau,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_server_beta1,user_attrs_server_beta2,user_attrs_server_bias_correction,user_attrs_server_lr,user_attrs_server_tau,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.6279950408417867,relu,512,1.881242354304735,9,6.0,0.21819743030341407,78,,110,0.5293378065290024,0.7858680748824882,,1,0.0065356418161088715,3,mse,recon,0.8932555880693748,0.9844407985150414,0.006792421801981294,0.00010178744576820926,0.9454860444417856,False,1e-08,,,,,,,relu,fedadam,512,1.881242354304735,9,6.0,6.0,-6.0,0.21819743030341407,10,78,,"[78, 41, 32]","[42, 43, 44, 45]",110,0.5256410256410257,0.7804878048780488,,1,0.0065356418161088715,3,sgd,mse,120,recon,,,,,,,0.8932555880693748,0.9844407985150414,True,0.006792421801981294,0.00010178744576820926,0.9454860444417856,False,,,,1e-08,PRUNED
11,0.5911607838405392,leakyrelu,256,0.10374848100380465,9,5.0,0.32054445268164433,624,2.0,104,0.9852200601013981,,,1,0.018159546882195857,2,mse,recon+kl,0.9135555117217683,0.9711914693109126,0.005348197217650832,0.00020165612566899632,0.3772840603262459,True,1e-06,,,,,,,leakyrelu,fedadam,256,0.10374848100380465,9,5.0,5.0,-5.0,0.32054445268164433,10,624,2.0,"[624, 614]","[42, 43, 44, 45]",104,0.9839743589743589,,,1,0.018159546882195857,2,sgd,mse,120,recon+kl,,,,,,,0.9135555117217683,0.9711914693109126,True,0.005348197217650832,0.00020165612566899632,0.3772840603262459,True,,,,1e-06,PRUNED
12,0.7321019642820181,leakyrelu,256,0.24504112413272375,11,6.0,0.27447904702784975,695,2.0,91,0.8949049724359346,,,2,0.008855625247666234,2,mse,recon+kl,0.9023062517153226,0.9823923201634709,0.019553500297264447,0.0014204075097797653,0.21014307146261918,False,1e-06,0.7393977694607681,0.7442938750491588,0.7144242446480419,0.7221447794769316,0.8139612393473594,0.8086420929134184,leakyrelu,fedadam,256,0.24504112413272375,11,6.0,6.0,-6.0,0.27447904702784975,5,695,2.0,"[695, 621]","[42, 43, 44, 45]",91,0.8935251798561151,,,2,0.008855625247666234,2,sgd,mse,120,recon+kl,0.7321019642820181,0.05586192249747245,0.8054257198823576,0.020882952901365482,0.7269110070544049,0.7144242446480419,0.9023062517153226,0.9823923201634709,True,0.019553500297264447,0.0014204075097797653,0.21014307146261918,False,0.8139612393473594,0.8086420929134184,0.8139612393473594,1e-06,COMPLETE
13,0.5923067247822431,relu,256,1.7680638952515997,6,5.0,0.17978808679224537,721,2.0,34,0.852023530888813,,,2,0.0023676604762512604,2,mse,recon+kl,0.9226414277681988,0.9869462878078686,0.009364875804075417,0.00021164660984852022,0.46920271926858204,True,0.0,,,,,,,relu,fedadam,256,1.7680638952515997,6,5.0,5.0,-5.0,0.17978808679224537,5,721,2.0,"[721, 614]","[42, 43, 44, 45]",34,0.8515950069348127,,,2,0.0023676604762512604,2,sgd,mse,120,recon+kl,,,,,,,0.9226414277681988,0.9869462878078686,True,0.009364875804075417,0.00021164660984852022,0.46920271926858204,True,,,,0.0,PRUNED
14,0.6300843631983607,leakyrelu,512,0.17057474480419882,11,6.0,0.38764980867512683,850,5.0,8,0.6243545573738416,0.6797149528701024,,3,0.009182177541226785,3,mse,recon,0.8873259398026714,0.979515306391753,0.00443431840987974,0.0012031375347202466,0.7514313440822908,False,1e-05,0.5812965597309956,0.5865491477417061,0.6670719515430688,0.6740122757041702,0.8236838802425857,0.8188149207767184,leakyrelu,fedadam,512,0.17057474480419882,11,6.0,6.0,-6.0,0.38764980867512683,3,850,5.0,"[850, 530, 360]","[42, 43, 44, 45]",8,0.6235294117647059,0.6792452830188679,,3,0.009182177541226785,3,sgd,mse,120,recon,0.6300843631983607,0.00466209755962427,0.8192042660897447,0.0012361990186567698,0.6241842556370322,0.5812965597309956,0.8873259398026714,0.979515306391753,True,0.00443431840987974,0.0012031375347202466,0.7514313440822908,False,0.8236838802425857,0.8188149207767184,0.8236838802425857,1e-05,COMPLETE
15,0.8561503652333937,relu,256,1.2683711258457415,4,8.0,0.24018235696195628,512,2.0,47,,,,1,0.00385497814775382,1,mse,recon+kl,0.8813437193721777,0.9743149650966358,0.018937344105923303,0.00018722321532076803,0.9385127156766905,True,1e-08,0.8925407429987526,0.8925196129485681,0.8159676521006095,0.8200612814969112,0.7489472208580068,0.7452100309582813,relu,fedadam,256,1.2683711258457415,4,8.0,8.0,-8.0,0.24018235696195628,10,512,2.0,[512],"[42, 43, 44, 45]",47,,,,1,0.00385497814775382,1,sgd,mse,120,recon+kl,0.8561503652333937,0.0020509878524354688,0.7435533471730633,0.006677684811547577,0.8542541975496811,0.8159676521006095,0.8813437193721777,0.9743149650966358,True,0.018937344105923303,0.00018722321532076803,0.9385127156766905,True,0.7489472208580068,0.7452100309582813,0.7489472208580068,1e-08,COMPLETE
16,0.6005677841002106,relu,128,1.252287483050654,4,8.0,0.22459786531575543,545,1.0,127,,,,2,0.0032605082849940636,1,mse,recon,0.8848632399916263,0.9704429538824574,0.017705031220161625,0.00018722346321987403,0.9429809644904004,True,1e-08,,,,,,,relu,fedadam,128,1.252287483050654,4,8.0,8.0,-8.0,0.22459786531575543,5,545,1.0,[545],"[42, 43, 44, 45]",127,,,,2,0.0032605082849940636,1,sgd,mse,120,recon,,,,,,,0.8848632399916263,0.9704429538824574,True,0.017705031220161625,0.00018722346321987403,0.9429809644904004,True,,,,1e-08,PRUNED
17,0.6386560314315229,relu,64,1.3659620954384142,7,8.0,0.14193525245307254,511,,96,,,,3,0.0014168212675950906,1,mse,recon+kl,0.8758431714373319,0.9810501050380778,0.0010422349450413323,0.00016554586023747938,0.8306252455357703,False,1e-08,,,,,,,relu,fedadam,64,1.3659620954384142,7,8.0,8.0,-8.0,0.14193525245307254,3,511,,[511],"[42, 43, 44, 45]",96,,,,3,0.0014168212675950906,1,sgd,mse,120,recon+kl,,,,,,,0.8758431714373319,0.9810501050380778,True,0.0010422349450413323,0.00016554586023747938,0.8306252455357703,False,,,,1e-08,PRUNED
18,0.632487477149392,relu,512,0.5218754304383953,3,8.0,0.24365661923308185,324,5.0,75,0.50752373930111,0.8589384906448644,,4,0.006297553676203965,3,huber,recon,0.9050155218209978,0.9857158629053583,0.0063072117108061284,0.0002574253934753246,0.6535143983190692,False,0.0001,0.6109286731735037,0.6141915036194046,0.6448153416842133,0.6506777974883383,0.7827279227609462,0.7812315360500978,relu,fedadam,512,0.5218754304383953,3,8.0,8.0,-8.0,0.24365661923308185,2,324,5.0,"[324, 164, 140]","[42, 43, 44, 45]",75,0.5061728395061729,0.8536585365853658,,4,0.006297553676203965,3,sgd,huber,120,recon,0.632487477149392,0.00035249230814140555,0.7823750660938844,0.0012498326401277947,0.6278720074288585,0.6109286731735037,0.9050155218209978,0.9857158629053583,True,0.0063072117108061284,0.0002574253934753246,0.6535143983190692,False,0.7827279227609462,0.7812315360500978,0.7827279227609462,0.0001,COMPLETE
19,0.6183594462978956,relu,256,1.215277723855119,8,6.0,0.1951866398755773,513,2.0,43,0.6027265860644883,0.8586889051277379,0.9431898316559193,1,0.0021271185326985583,4,mse,recon+kl,0.8806435354072123,0.9761600517910587,0.014834587314503296,0.00439578159128672,0.8629574331418196,True,1e-08,,,,,,,relu,fedadam,256,1.215277723855119,8,6.0,6.0,-6.0,0.1951866398755773,10,513,2.0,"[513, 309, 265, 249]","[42, 43, 44, 45]",43,0.6023391812865497,0.8576051779935275,0.939622641509434,1,0.0021271185326985583,4,sgd,mse,120,recon+kl,,,,,,,0.8806435354072123,0.9761600517910587,True,0.014834587314503296,0.00439578159128672,0.8629574331418196,True,,,,1e-08,PRUNED
