number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
47,0.8484456206098137,elu,512,0.12533979731152842,10,6.0,0.1764848657775114,768,,23,,,,4,0.00436519229853578,1,mse,recon,0.28741189106466625,False,1e-10,0.8690790228830669,0.869123627434654,0.8284976695437499,0.8296722084389424,0.7112111598465305,0.6995546365918324,elu,scaffold,512,0.12533979731152842,10,6.0,6.0,-6.0,0.1764848657775114,2,768,,[768],"[42, 43, 44, 45]",23,,,,4,0.00436519229853578,1,sgd,mse,120,recon,0.8484456206098137,0.007747253104652862,0.7013261320400571,0.057559044676944116,0.8487883462134085,0.8284976695437499,0.28741189106466625,False,0.7112111598465305,0.6995546365918324,0.7112111598465305,1e-10,COMPLETE
48,0.8430637614288321,elu,512,0.15114325804902065,14,6.0,0.18667470928024454,547,,48,,,,5,0.007969868299274058,1,mse,recon,0.3559306890822903,False,1e-10,0.883851029559255,0.8856812186112851,0.8010103002967404,0.8002984897429819,0.6841256790499792,0.6774752659514414,elu,scaffold,512,0.15114325804902065,14,6.0,6.0,-6.0,0.18667470928024454,2,547,,[547],"[42, 43, 44, 45]",48,,,,5,0.007969868299274058,1,sgd,mse,120,recon,0.8430637614288321,0.006724739076969844,0.6787918808249647,0.07128705411625938,0.8424306649279977,0.8010103002967404,0.3559306890822903,False,0.6841256790499792,0.6774752659514414,0.6841256790499792,1e-10,COMPLETE
49,0.8625451764048127,gelu,512,0.14912415288150419,10,6.0,0.2461138089922718,626,,35,,,,4,0.005950628850698307,1,mse,recon,0.43234094269751494,False,1e-10,0.8948178254970918,0.8923694169484476,0.8326012106706107,0.8321531400004892,0.7428968973037459,0.7362192193018604,gelu,scaffold,512,0.14912415288150419,10,6.0,6.0,-6.0,0.2461138089922718,2,626,,[626],"[42, 43, 44, 45]",35,,,,4,0.005950628850698307,1,sgd,mse,120,recon,0.8625451764048127,0.008996032178435417,0.7349636560079106,0.034753441238875124,0.8637095180838512,0.8326012106706107,0.43234094269751494,False,0.7428968973037459,0.7362192193018604,0.7428968973037459,1e-10,COMPLETE
50,0.6831080790247648,gelu,512,0.17013638430602984,9,5.0,0.2956335228756115,715,,122,,,,4,0.006235236179304637,1,mse,recon+kl,0.5076524034141225,False,1e-10,,,,,,,gelu,scaffold,512,0.17013638430602984,9,5.0,5.0,-5.0,0.2956335228756115,2,715,,[715],"[42, 43, 44, 45]",122,,,,4,0.006235236179304637,1,sgd,mse,120,recon+kl,,,,,,,0.5076524034141225,False,,,,1e-10,PRUNED
51,0.8636577028894081,gelu,512,0.11893650594645763,11,6.0,0.22710834443098538,632,,32,,,,5,0.005151344441954704,1,mse,recon,0.4311683731868589,False,1e-10,0.9035626814641702,0.9033680655519616,0.8268171537386086,0.8246478677783611,0.7120957923833502,0.7065793168950081,gelu,scaffold,512,0.11893650594645763,11,6.0,6.0,-6.0,0.22710834443098538,2,632,,[632],"[42, 43, 44, 45]",32,,,,5,0.005151344441954704,1,sgd,mse,120,recon,0.8636577028894081,0.00895663820752076,0.7040212366001117,0.052784626402010065,0.8651899176013894,0.8268171537386086,0.4311683731868589,False,0.7120957923833502,0.7065793168950081,0.7120957923833502,1e-10,COMPLETE
52,0.8631408445975188,gelu,512,0.14577289049277106,12,6.0,0.2800088059703712,652,,37,,,,5,0.004177272057691616,1,mse,recon,0.43335358365955046,False,1e-10,0.884778272658677,0.8848175879354434,0.842822401734153,0.8410859578015245,0.7550305113832015,0.7522352404829511,gelu,scaffold,512,0.14577289049277106,12,6.0,6.0,-6.0,0.2800088059703712,2,652,,[652],"[42, 43, 44, 45]",37,,,,5,0.004177272057691616,1,sgd,mse,120,recon,0.8631408445975188,0.006774490369435041,0.7497864444265685,0.012389528520886912,0.863800337196415,0.842822401734153,0.43335358365955046,False,0.7550305113832015,0.7522352404829511,0.7550305113832015,1e-10,COMPLETE
53,0.86378667122738,gelu,512,0.2070485011460147,12,6.0,0.27761942054763566,653,,36,,,,5,0.004076720706751207,1,mse,recon,0.4325550692312821,False,1e-10,0.8859850105656132,0.8848617485289993,0.8436482789246597,0.8440111708072956,0.7623417463086213,0.756927479955442,gelu,scaffold,512,0.2070485011460147,12,6.0,6.0,-6.0,0.27761942054763566,2,653,,[653],"[42, 43, 44, 45]",36,,,,5,0.004076720706751207,1,sgd,mse,120,recon,0.86378667122738,0.006508862810893516,0.7552323247077286,0.017322681469153577,0.8648166447451364,0.8436482789246597,0.4325550692312821,False,0.7623417463086213,0.756927479955442,0.7623417463086213,1e-10,COMPLETE
54,0.8602472158245223,gelu,512,0.2225727584096594,12,6.0,0.27690859486808916,652,,39,,,,4,0.008221446700057458,1,mse,recon,0.43609667332069924,False,1e-10,0.9006889758223396,0.8993793819539705,0.8194573151111789,0.8203600858326701,0.7081336592396896,0.7030411624949902,gelu,scaffold,512,0.2225727584096594,12,6.0,6.0,-6.0,0.27690859486808916,2,652,,[652],"[42, 43, 44, 45]",39,,,,4,0.008221446700057458,1,sgd,mse,120,recon,0.8602472158245223,0.006621016019357277,0.704285729742342,0.033341207711770994,0.8600731454667593,0.8194573151111789,0.43609667332069924,False,0.7081336592396896,0.7030411624949902,0.7081336592396896,1e-10,COMPLETE
55,0.7600340983288831,gelu,512,0.14532899727744497,13,6.0,0.31918764134986227,801,,52,,,,5,0.006042353653979049,1,mse,recon,0.5744656102577993,False,1e-10,,,,,,,gelu,scaffold,512,0.14532899727744497,13,6.0,6.0,-6.0,0.31918764134986227,2,801,,[801],"[42, 43, 44, 45]",52,,,,5,0.006042353653979049,1,sgd,mse,120,recon,,,,,,,0.5744656102577993,False,,,,1e-10,PRUNED
56,0.868446268024108,gelu,512,0.1183509643557422,11,6.0,0.3455043170126701,886,,36,,,,6,0.002294899014985685,1,mse,recon,0.4272437581331232,False,1e-06,0.8915430028921367,0.8900349180341751,0.846828377938473,0.8447171669809067,0.7567788804401618,0.7475746366953246,gelu,scaffold,512,0.1183509643557422,11,6.0,6.0,-6.0,0.3455043170126701,2,886,,[886],"[42, 43, 44, 45]",36,,,,6,0.002294899014985685,1,sgd,mse,120,recon,0.868446268024108,0.01230259682326451,0.7475972462135967,0.036160444222189086,0.8691856904153048,0.846828377938473,0.4272437581331232,False,0.7567788804401618,0.7475746366953246,0.7567788804401618,1e-06,COMPLETE
57,0.6955402857513817,gelu,512,0.11565321406922734,12,6.0,0.3518197613174446,909,,44,,,,6,0.003748489727822648,1,huber,recon,0.4892583073235255,False,1e-06,,,,,,,gelu,scaffold,512,0.11565321406922734,12,6.0,6.0,-6.0,0.3518197613174446,2,909,,[909],"[42, 43, 44, 45]",44,,,,6,0.003748489727822648,1,sgd,huber,120,recon,,,,,,,0.4892583073235255,False,,,,1e-06,PRUNED
