number,value,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_epochs_matched,user_attrs_epochs_per_round,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_max_rounds,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_train__best_metric,user_attrs_train__history_len,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_n,user_attrs_unseen_val_n,user_attrs_weight_decay,state
28,0.76940417068875,leakyrelu,256,0.195185678844438,11,4.0,0.11065751543597033,803,2.0,64,0.5590771113743386,,,3,0.011272946679287098,2,mse,recon,0.3659239336768557,True,1e-05,,,,,leakyrelu,256,0.195185678844438,11,4.0,4.0,-4.0,0.11065751543597033,8,360,3,803,2.0,"[803, 448]",,64,0.5579078455790785,,,3,0.011272946679287098,120,2,sgd,mse,120,recon,,,,,0.3659239336768557,True,,,,,,,1e-05,PRUNED
29,0.7772431758652418,leakyrelu,256,0.5392417602617716,8,6.0,0.07544338794414732,921,2.0,18,0.8384914843600562,0.9899762860270586,,4,0.004289126330965851,3,mse,recon,0.7686686538657089,False,0.0001,,,,,leakyrelu,256,0.5392417602617716,8,6.0,6.0,-6.0,0.07544338794414732,8,480,4,921,2.0,"[921, 772, 764]",,18,0.8382193268186754,0.9896373056994818,,4,0.004289126330965851,120,3,sgd,mse,120,recon,,,,,0.7686686538657089,False,,,,,,,0.0001,PRUNED
30,0.7905996973323475,leakyrelu,256,0.31378157458430145,13,4.0,0.17615763398158363,1024,2.0,36,0.7301659655932266,,,1,0.0022139558148630114,2,mse,recon,0.8655270584181349,True,1e-06,,,,,leakyrelu,256,0.31378157458430145,13,4.0,4.0,-4.0,0.17615763398158363,8,120,1,1024,2.0,"[1024, 747]",,36,0.7294921875,,,1,0.0022139558148630114,120,2,sgd,mse,120,recon,,,,,0.8655270584181349,True,,,,,,,1e-06,PRUNED
31,0.851092396957047,leakyrelu,256,0.48426707223754134,14,4.0,0.1327548786625143,849,2.0,33,,,,5,0.004297603307694358,1,mse,recon,0.7498943288136061,True,1e-06,0.8837563153764951,0.882883445081392,0.8339462235695025,0.819301348832702,leakyrelu,256,0.48426707223754134,14,4.0,4.0,-4.0,0.1327548786625143,8,600,5,849,2.0,[849],"[42, 43, 44, 45]",33,,,,5,0.004297603307694358,120,1,sgd,mse,120,recon,0.851092396957047,0.0028026573610188967,0.8588512694729988,0.8339462235695025,0.7498943288136061,True,0.8517836263809153,11.0,0.4361468065128585,0.440648088757736,7290.0,5832.0,1e-06,COMPLETE
32,0.8181620231596733,leakyrelu,256,0.7137459735059685,14,4.0,0.13317348605484147,940,2.0,8,0.6589408393812412,,,4,0.003841160455424955,2,mse,recon,0.8313841916113964,True,1e-06,,,,,leakyrelu,256,0.7137459735059685,14,4.0,4.0,-4.0,0.13317348605484147,8,480,4,940,2.0,"[940, 619]",,8,0.6585106382978724,,,4,0.003841160455424955,120,2,sgd,mse,120,recon,,,,,0.8313841916113964,True,,,,,,,1e-06,PRUNED
33,0.7643636593714072,leakyrelu,64,0.38595836608629996,11,4.0,0.09677195676431626,756,2.0,27,0.5470366388385296,0.82900977648274,,3,0.005319572860006303,3,mse,recon,0.6275541889399029,True,1e-06,,,,,leakyrelu,64,0.38595836608629996,11,4.0,4.0,-4.0,0.09677195676431626,8,361,3,756,2.0,"[756, 413, 342]",,27,0.5462962962962963,0.8280871670702179,,3,0.005319572860006303,120,3,sgd,mse,120,recon,,,,,0.6275541889399029,True,,,,,,,1e-06,PRUNED
34,0.8469070634722388,gelu,256,0.1449593736607246,13,8.0,0.21551815816174671,271,5.0,104,0.5881935155297064,,,4,0.00793751806495842,2,mse,recon,0.8001655083429463,True,1e-10,0.8771565328982898,0.8787017867458476,0.8278314808228946,0.8151123401986298,gelu,256,0.1449593736607246,13,8.0,8.0,-8.0,0.21551815816174671,8,480,4,271,5.0,"[271, 159]","[42, 43, 44, 45]",104,0.5867158671586716,,,4,0.00793751806495842,120,2,sgd,mse,120,recon,0.8469070634722388,0.0024917696533590865,0.8524940068605922,0.8278314808228946,0.8001655083429463,True,0.849082428423381,24.75,0.33141219815558076,0.33326788627524034,7290.0,5832.0,1e-10,COMPLETE
35,0.783833247717056,leakyrelu,256,0.38606742635654445,6,6.0,0.06250547339401101,875,1.0,53,,,,2,0.0037196279416986987,1,mse,recon+kl,0.7430246507474946,False,1e-06,,,,,leakyrelu,256,0.38606742635654445,6,6.0,6.0,-6.0,0.06250547339401101,8,240,2,875,1.0,[875],,53,,,,2,0.0037196279416986987,120,1,sgd,mse,120,recon+kl,,,,,0.7430246507474946,False,,,,,,,1e-06,PRUNED
36,0.7512049785394803,elu,512,0.2622531100036052,12,5.0,0.1411292523189392,667,2.0,15,0.6401945602903195,0.8778285371686815,0.5309658263657278,5,0.00592836282042681,4,huber,recon,0.6918589889545123,True,1e-08,,,,,elu,512,0.2622531100036052,12,5.0,5.0,-5.0,0.1411292523189392,8,600,5,667,2.0,"[667, 427, 374, 198]",,15,0.6401799100449775,0.8758782201405152,0.5294117647058824,5,0.00592836282042681,120,4,sgd,huber,120,recon,,,,,0.6918589889545123,True,,,,,,,1e-08,PRUNED
37,0.7755216183452162,leakyrelu,256,0.4547022401101006,9,4.0,0.2623882807411897,957,5.0,38,0.5236435920752609,,,1,0.0025867440968439155,2,mse,recon+kl,0.884275597960385,True,1e-06,,,,,leakyrelu,256,0.4547022401101006,9,4.0,4.0,-4.0,0.2623882807411897,8,120,1,957,5.0,"[957, 501]",,38,0.5235109717868338,,,1,0.0025867440968439155,120,2,sgd,mse,120,recon+kl,,,,,0.884275597960385,True,,,,,,,1e-06,PRUNED
38,0.8409564528917604,relu,64,0.7776359398145968,14,3.0,0.1029739195181443,778,2.0,18,,,,3,0.009757786313788071,1,mse,recon,0.5147441445032696,False,1e-05,0.8629230808311741,0.8603241146477218,0.8337970913045851,0.8215887911357989,relu,64,0.7776359398145968,14,3.0,3.0,-3.0,0.1029739195181443,8,361,3,778,2.0,[778],"[42, 43, 44, 45]",18,,,,3,0.009757786313788071,120,1,sgd,mse,120,recon,0.8409564528917604,0.003782419233704465,0.8483600860678796,0.8337970913045851,0.5147441445032696,False,0.8403658123032471,10.5,0.4653621098108727,0.47131135852803985,7290.0,5832.0,1e-05,COMPLETE
39,0.681307932112878,elu,512,0.1475692466734908,12,8.0,0.03183283882788002,837,1.0,21,0.6930254052912203,0.9152356380112132,,5,0.0016868886588655976,3,huber,recon,0.578352126971257,True,0.0001,,,,,elu,512,0.1475692466734908,12,8.0,8.0,-8.0,0.03183283882788002,8,600,5,837,1.0,"[837, 580, 530]",,21,0.6929510155316607,0.9137931034482759,,5,0.0016868886588655976,120,3,sgd,huber,120,recon,,,,,0.578352126971257,True,,,,,,,0.0001,PRUNED
