number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.7974314764009551,relu,256,0.6268538043409331,15,4.0,0.003224457361608174,319,5.0,74,,,,1,0.015934288792024562,1,mse,recon,0.9369746035816005,False,0.0001,0.5346748933559887,0.53367628944229,0.7850787105247807,0.7832577046417195,0.826347214460307,0.8120811211874883,relu,fedavg,256,0.6268538043409331,15,4.0,4.0,-4.0,0.003224457361608174,10,319,5.0,[319],"[42, 43, 44, 45]",74,,,,1,0.015934288792024562,1,sgd,mse,120,recon,0.7974314764009551,0.005752322586031109,0.5336027129540251,0.009584123791321368,0.8057129624925439,0.7850787105247807,0.9369746035816005,False,0.5346748933559887,0.53367628944229,0.5346748933559887,0.0001,COMPLETE
11,0.7936673811744861,relu,256,0.6356616837545555,15,4.0,0.0008662977657382942,314,5.0,70,,,,1,0.01944950736616424,1,mse,recon,0.9219181141926562,False,0.0001,0.5324564627117592,0.5298876074672447,0.7805947226503036,0.7787273922457996,0.8241622023893527,0.8118477639098226,relu,fedavg,256,0.6356616837545555,15,4.0,4.0,-4.0,0.0008662977657382942,10,314,5.0,[314],"[42, 43, 44, 45]",70,,,,1,0.01944950736616424,1,sgd,mse,120,recon,0.7936673811744861,0.0032583943517678735,0.529421128121466,0.00989736249344289,0.8023784625198281,0.7805947226503036,0.9219181141926562,False,0.5324564627117592,0.5298876074672447,0.5324564627117592,0.0001,COMPLETE
12,0.7968739856588032,relu,256,0.5392409517015277,15,4.0,0.011383160912920668,301,5.0,60,,,,2,0.014967725476530766,1,mse,recon,0.9289179321517094,False,0.0001,0.5288247237228592,0.5277283396698788,0.7848912485111236,0.781427171595718,0.822905035554276,0.8135657197835696,relu,fedavg,256,0.5392409517015277,15,4.0,4.0,-4.0,0.011383160912920668,5,301,5.0,[301],"[42, 43, 44, 45]",60,,,,2,0.014967725476530766,1,sgd,mse,120,recon,0.7968739856588032,0.008599537124211838,0.5261270183331734,0.008772798690029854,0.8038981420326998,0.7848912485111236,0.9289179321517094,False,0.5288247237228592,0.5277283396698788,0.5288247237228592,0.0001,COMPLETE
13,0.77792017511116,relu,256,0.38700306651235605,15,4.0,0.012769677798853296,217,5.0,50,,,,3,0.015319991329529908,1,mse,recon,0.9464259264544416,False,0.0001,0.5432610581419198,0.542829866109314,0.7497120564653461,0.749971877757832,0.8173695480777734,0.8062011028740725,relu,fedavg,256,0.38700306651235605,15,4.0,4.0,-4.0,0.012769677798853296,3,217,5.0,[217],"[42, 43, 44, 45]",50,,,,3,0.015319991329529908,1,sgd,mse,120,recon,0.77792017511116,0.002199585444371848,0.5418455582322402,0.008876991539239763,0.7835408022715598,0.7497120564653461,0.9464259264544416,False,0.5432610581419198,0.542829866109314,0.5432610581419198,0.0001,COMPLETE
14,0.7409446380219065,gelu,256,0.2578587727409881,12,4.0,0.04137048158298101,406,5.0,75,0.9962584164530706,,,2,0.010902586090699383,2,mse,recon,0.0012889620887366893,False,0.0001,,,,,,,gelu,fedavg,256,0.2578587727409881,12,4.0,4.0,-4.0,0.04137048158298101,5,406,5.0,"[406, 404]","[42, 43, 44, 45]",75,0.9950738916256158,,,2,0.010902586090699383,2,sgd,mse,120,recon,,,,,,,0.0012889620887366893,False,,,,0.0001,PRUNED
15,0.7458550784564986,relu,256,0.5507915267987034,14,4.0,0.13457894393268097,242,5.0,49,,,,3,0.0059968323356056836,1,mse,recon,0.7471363052981046,False,1e-05,,,,,,,relu,fedavg,256,0.5507915267987034,14,4.0,4.0,-4.0,0.13457894393268097,3,242,5.0,[242],"[42, 43, 44, 45]",49,,,,3,0.0059968323356056836,1,sgd,mse,120,recon,,,,,,,0.7471363052981046,False,,,,1e-05,PRUNED
16,0.7562050632149194,relu,256,0.24736798259573692,9,4.0,0.047620468297365624,74,1.0,39,,,,2,0.00284392284763397,1,mse,recon,0.6904521905433019,False,1e-06,,,,,,,relu,fedavg,256,0.24736798259573692,9,4.0,4.0,-4.0,0.047620468297365624,5,74,1.0,[74],"[42, 43, 44, 45]",39,,,,2,0.00284392284763397,1,sgd,mse,120,recon,,,,,,,0.6904521905433019,False,,,,1e-06,PRUNED
17,0.7767682657270514,relu,256,0.4853782094433518,13,3.0,0.21446883768816333,456,,83,0.8988050756150625,,,7,0.011046168043441459,2,mse,recon,0.6438071510016858,False,0.0,0.550874988945151,0.5442913847680175,0.7533768659173831,0.7580158239578806,0.8016113171546794,0.794591938474826,relu,fedavg,256,0.4853782094433518,13,3.0,3.0,-3.0,0.21446883768816333,2,456,,"[456, 409]","[42, 43, 44, 45]",83,0.8969298245614035,,,7,0.011046168043441459,2,sgd,mse,120,recon,0.7767682657270514,0.0017607668291270036,0.5445144957295354,0.0028058700118033025,0.7774940915360312,0.7533768659173831,0.6438071510016858,False,0.550874988945151,0.5442913847680175,0.550874988945151,0.0,COMPLETE
18,0.754869425768806,gelu,256,1.0148845975661491,10,4.0,0.04666146147642114,687,2.0,101,,,,4,0.0030871949514784153,1,huber,recon+kl,0.861227686041002,False,0.0001,,,,,,,gelu,fedavg,256,1.0148845975661491,10,4.0,4.0,-4.0,0.04666146147642114,2,687,2.0,[687],"[42, 43, 44, 45]",101,,,,4,0.0030871949514784153,1,sgd,huber,120,recon+kl,,,,,,,0.861227686041002,False,,,,0.0001,PRUNED
19,0.7189652755432869,leakyrelu,64,0.17712655344279113,8,4.0,0.1145808949239481,317,5.0,63,0.5169406111623707,,,2,0.011066542268711843,2,mse,recon,0.34921721693842395,False,0.0001,,,,,,,leakyrelu,fedavg,64,0.17712655344279113,8,4.0,4.0,-4.0,0.1145808949239481,5,317,5.0,"[317, 163]","[42, 43, 44, 45]",63,0.5141955835962145,,,2,0.011066542268711843,2,sgd,mse,120,recon,,,,,,,0.34921721693842395,False,,,,0.0001,PRUNED
