number,values_0,params_activation,params_batch_size,params_beta,params_beta_warmup_rounds,params_clip_abs,params_dropout,params_first_layer,params_grad_clip,params_latent_dim,params_layer_1_dropoff,params_layer_2_dropoff,params_layer_3_dropoff,params_local_epochs,params_lr,params_n_layers,params_prox_mu,params_recon_type,params_score_type,params_sgd_momentum,params_sgd_nesterov,params_weight_decay,user_attrs_NF-BoT-IoT-v3__test_auroc,user_attrs_NF-BoT-IoT-v3__val_auroc,user_attrs_NF-CICIDS2018-v3__test_auroc,user_attrs_NF-CICIDS2018-v3__val_auroc,user_attrs_NF-ToN-IoT-v3__test_auroc,user_attrs_NF-ToN-IoT-v3__val_auroc,user_attrs_activation,user_attrs_aggregation_method,user_attrs_batch_size,user_attrs_beta,user_attrs_beta_warmup_rounds,user_attrs_clip_abs,user_attrs_clip_max,user_attrs_clip_min,user_attrs_dropout,user_attrs_early_stop_patience,user_attrs_first_layer,user_attrs_grad_clip,user_attrs_hidden_dims,user_attrs_hpo_seeds,user_attrs_latent_dim,user_attrs_layer_1_dropoff,user_attrs_layer_2_dropoff,user_attrs_layer_3_dropoff,user_attrs_local_epochs,user_attrs_lr,user_attrs_n_layers,user_attrs_optimizer,user_attrs_prox_mu,user_attrs_recon_type,user_attrs_rounds,user_attrs_score_type,user_attrs_seed_seen_obj_mean,user_attrs_seed_seen_obj_std,user_attrs_seed_unseen_val_obj_mean,user_attrs_seed_unseen_val_obj_std,user_attrs_seen_test_mean,user_attrs_seen_test_min,user_attrs_sgd_momentum,user_attrs_sgd_nesterov,user_attrs_unseen__test_auroc,user_attrs_unseen__val_auroc,user_attrs_unseen_test_auroc,user_attrs_weight_decay,state
10,0.7380761105183831,gelu,256,1.9701282645319595,15,8.0,0.26147643039155727,616,,20,,,,2,0.0005452199691081996,1,0.08886989827316882,mse,recon+kl,0.3788709080804595,True,0.0001,,,,,,,gelu,fedprox,256,1.9701282645319595,15,8.0,8.0,-8.0,0.26147643039155727,5,616,,[616],"[42, 43, 44, 45]",20,,,,2,0.0005452199691081996,1,sgd,0.08886989827316882,mse,120,recon+kl,,,,,,,0.3788709080804595,True,,,,0.0001,PRUNED
11,0.8235859995512202,leakyrelu,64,0.42464975475114697,9,5.0,0.17553568026315455,1021,,84,0.9201828284217477,,,7,0.0003090973814826691,2,0.0010679253243383265,mse,recon,0.29283662015351425,True,0.0,0.8211643343287401,0.8279634404383553,0.6422158527475299,0.648167038415365,0.8225128565541612,0.8191635013341086,leakyrelu,fedprox,64,0.42464975475114697,9,5.0,5.0,-5.0,0.17553568026315455,2,1021,,"[1021, 939]","[42, 43, 44, 45]",84,0.9196865817825661,,,7,0.0003090973814826691,2,sgd,0.0010679253243383265,mse,120,recon,0.8235859995512202,0.0051920944858175255,0.6479236112287159,0.0029638833449877723,0.8218385954414507,0.8211643343287401,0.29283662015351425,True,0.6422158527475299,0.648167038415365,0.6422158527475299,0.0,COMPLETE
12,0.8250079589032461,leakyrelu,64,0.446225228170337,12,5.0,0.28250103388581926,837,,79,0.5024707401359401,,,6,0.00033548600976469645,2,0.0012657157150171457,mse,recon,0.24601819843087946,True,0.0,0.8192791391706699,0.8277693043536347,0.6524334498091039,0.6589022376190394,0.8262922883255149,0.8227152096846122,leakyrelu,fedprox,64,0.446225228170337,12,5.0,5.0,-5.0,0.28250103388581926,2,837,,"[837, 420]","[42, 43, 44, 45]",79,0.5017921146953405,,,6,0.00033548600976469645,2,sgd,0.0012657157150171457,mse,120,recon,0.8250079589032461,0.0015315030712382254,0.6599292066287697,0.0059556957353246376,0.8227857137480924,0.8192791391706699,0.24601819843087946,True,0.6524334498091039,0.6589022376190394,0.6524334498091039,0.0,COMPLETE
13,0.800961971789907,leakyrelu,64,0.4596314730042616,13,5.0,0.288593692278522,818,,74,,,,3,0.00032123916887928064,1,0.0004937773450789187,mse,recon,0.012344411396249255,True,0.0,0.7654100361093705,0.7708854175487025,0.6326015964142774,0.6403393673992033,0.8333833012507502,0.8297474313940776,leakyrelu,fedprox,64,0.4596314730042616,13,5.0,5.0,-5.0,0.288593692278522,3,818,,[818],"[42, 43, 44, 45]",74,,,,3,0.00032123916887928064,1,sgd,0.0004937773450789187,mse,120,recon,0.800961971789907,0.013422779358405242,0.6403052473134365,0.006608921378915656,0.7993966686800604,0.7654100361093705,0.012344411396249255,True,0.6326015964142774,0.6403393673992033,0.6326015964142774,0.0,COMPLETE
14,0.7235306341625882,gelu,128,1.9724566769310143,12,5.0,0.22911807745175589,585,,29,0.5235947595970014,,,6,0.0006170738369210166,2,0.0036271694149186923,mse,recon,0.4990887517741339,True,1e-06,,,,,,,gelu,fedprox,128,1.9724566769310143,12,5.0,5.0,-5.0,0.22911807745175589,2,585,,"[585, 306]","[42, 43, 44, 45]",29,0.5230769230769231,,,6,0.0006170738369210166,2,sgd,0.0036271694149186923,mse,120,recon,,,,,,,0.4990887517741339,True,,,,1e-06,PRUNED
15,0.8190672565251834,leakyrelu,64,0.4891846731200677,15,8.0,0.3014282911334165,872,,108,0.5119666996282202,,,3,0.0004621553733601977,2,0.030230451578654588,mse,recon,0.20658292188042665,True,1e-10,0.8053007765678598,0.8120833703788379,0.6557399128031145,0.6620791836487964,0.8296983954945141,0.8264954682175444,leakyrelu,fedprox,64,0.4891846731200677,15,8.0,8.0,-8.0,0.3014282911334165,3,872,,"[872, 446]","[42, 43, 44, 45]",108,0.5114678899082569,,,3,0.0004621553733601977,2,sgd,0.030230451578654588,mse,120,recon,0.8190672565251834,0.005056476445342594,0.6618777854691302,0.004877044633452608,0.8174995860311869,0.8053007765678598,0.20658292188042665,True,0.6557399128031145,0.6620791836487964,0.6557399128031145,1e-10,COMPLETE
16,0.7218598819059876,relu,64,1.2683711258457415,7,3.0,0.39507982706960715,669,,69,,,,6,0.005983272513406209,1,0.002308760856579485,mse,recon,0.17141402759996077,True,1e-05,,,,,,,relu,fedprox,64,1.2683711258457415,7,3.0,3.0,-3.0,0.39507982706960715,2,669,,[669],"[42, 43, 44, 45]",69,,,,6,0.005983272513406209,1,sgd,0.002308760856579485,mse,120,recon,,,,,,,0.17141402759996077,True,,,,1e-05,PRUNED
17,0.8072221989952789,relu,64,0.6167086067351742,13,5.0,0.11990586073868414,895,5.0,108,0.5661931902517329,,,3,0.0008872062792581521,2,0.000554409209622348,mse,recon,0.616406581527858,True,0.0,0.7864481569920273,0.7877820926970257,0.6377659138079297,0.6439656959803628,0.829613654196797,0.8266734777472947,relu,fedprox,64,0.6167086067351742,13,5.0,5.0,-5.0,0.11990586073868414,3,895,5.0,"[895, 506]","[42, 43, 44, 45]",108,0.5653631284916201,,,3,0.0008872062792581521,2,sgd,0.000554409209622348,mse,120,recon,0.8072221989952789,0.009304188471985771,0.644171813051684,0.006251561538152099,0.8080309055944122,0.7864481569920273,0.616406581527858,True,0.6377659138079297,0.6439656959803628,0.6377659138079297,0.0,COMPLETE
18,0.686136872437392,leakyrelu,128,1.3141940580637206,1,5.0,0.2457193113359148,522,1.0,42,0.5874593121355377,0.5013791588269251,,6,0.000410349610399212,3,0.004141227861929728,mse,recon+kl,0.3016157724737285,False,0.0001,,,,,,,leakyrelu,fedprox,128,1.3141940580637206,1,5.0,5.0,-5.0,0.2457193113359148,2,522,1.0,"[522, 306, 153]","[42, 43, 44, 45]",42,0.5862068965517241,0.5,,6,0.000410349610399212,3,sgd,0.004141227861929728,mse,120,recon+kl,,,,,,,0.3016157724737285,False,,,,0.0001,PRUNED
19,0.714367369802104,gelu,256,0.34603176472387426,11,5.0,0.2779527959230452,488,,84,,,,1,0.0016357168196017733,1,0.030226075378425102,mse,recon,0.4160396013956559,True,0.0,,,,,,,gelu,fedprox,256,0.34603176472387426,11,5.0,5.0,-5.0,0.2779527959230452,10,488,,[488],"[42, 43, 44, 45]",84,,,,1,0.0016357168196017733,1,sgd,0.030226075378425102,mse,120,recon,,,,,,,0.4160396013956559,True,,,,0.0,PRUNED
